YEAR,MO,DY,HR,WDG temp,OIL TEMP,ambient TMP,AVG Current,Fault type
2020,1,4,11,69,40,20,216,NO FAULT
2020,1,4,12,68,40,21,220,NO FAULT
2020,1,4,13,67,43,23,214,NO FAULT
2020,1,4,14,67,43,25,230,NO FAULT
2020,1,4,15,69,39,27,224,NO FAULT
2020,1,4,16,69,37,28,223,NO FAULT
2020,1,4,17,70,39,29,217,NO FAULT
2020,1,4,18,67,37,30,220,NO FAULT
2020,1,4,19,67,41,30,228,NO FAULT
2020,1,4,20,69,36,30,229,NO FAULT
2020,1,4,21,68,40,29,212,NO FAULT
2020,1,4,22,67,44,29,217,NO FAULT
2020,1,4,23,69,44,27,218,NO FAULT
2020,1,5,0,67,44,26,230,NO FAULT
2020,1,5,1,69,38,25,218,NO FAULT
2020,1,5,2,70,44,24,223,NO FAULT
2020,1,5,3,69,42,24,228,NO FAULT
2020,1,5,4,69,40,23,229,NO FAULT
2020,1,5,5,68,45,23,220,NO FAULT
2020,1,5,6,67,42,22,212,NO FAULT
2020,1,5,7,68,40,21,223,NO FAULT
2020,1,5,8,74,42,21,215,NO FAULT
2020,1,5,9,70,38,21,228,NO FAULT
2020,1,5,10,69,41,21,210,NO FAULT
2020,1,5,11,70,40,21,213,NO FAULT
2020,1,5,12,67,44,21,220,NO FAULT
2020,1,5,13,69,40,23,213,NO FAULT
2020,1,5,14,70,43,25,218,NO FAULT
2020,1,5,15,69,40,26,230,NO FAULT
2020,1,5,16,70,35,28,220,NO FAULT
2020,1,5,17,68,37,28,215,NO FAULT
2020,1,5,18,67,38,29,226,NO FAULT
2020,1,5,19,69,43,29,212,NO FAULT
2020,1,5,20,67,43,29,220,NO FAULT
2020,1,5,21,69,37,29,225,NO FAULT
2020,1,5,22,70,35,28,220,NO FAULT
2020,1,5,23,70,45,25,229,NO FAULT
2020,1,6,0,70,39,24,230,NO FAULT
2020,1,6,1,68,41,23,214,NO FAULT
2020,1,6,2,70,37,23,222,NO FAULT
2020,1,6,3,68,37,22,225,NO FAULT
2020,1,6,4,68,36,22,220,NO FAULT
2020,1,6,5,69,36,21,226,NO FAULT
2020,1,6,6,67,37,21,218,NO FAULT
2020,1,6,7,68,42,21,213,NO FAULT
2020,1,6,8,68,37,21,217,NO FAULT
2020,1,6,9,68,44,20,213,NO FAULT
2020,1,6,10,70,44,20,214,NO FAULT
2020,1,6,11,70,43,20,213,NO FAULT
2020,1,6,12,67,41,20,229,NO FAULT
2020,1,6,13,68,45,22,221,NO FAULT
2020,1,6,14,68,44,24,227,NO FAULT
2020,1,6,15,67,40,26,225,NO FAULT
2020,1,6,16,70,40,27,228,NO FAULT
2020,1,6,17,67,45,28,211,NO FAULT
2020,1,6,18,70,43,29,214,NO FAULT
2020,1,6,19,67,40,29,224,NO FAULT
2020,1,6,20,67,36,29,210,NO FAULT
2020,1,6,21,68,36,28,227,NO FAULT
2020,1,6,22,67,42,27,219,NO FAULT
2020,1,6,23,70,37,24,211,NO FAULT
2020,1,7,0,69,45,23,216,NO FAULT
2020,1,7,1,67,36,22,226,NO FAULT
2020,1,7,2,68,39,22,210,NO FAULT
2020,1,7,3,67,35,22,217,NO FAULT
2020,1,7,4,69,45,21,216,NO FAULT
2020,1,7,5,68,40,20,225,NO FAULT
2020,1,7,6,70,37,20,216,NO FAULT
2020,1,7,7,72,44,20,223,NO FAULT
2020,1,7,8,70,40,19,214,NO FAULT
2020,1,7,9,67,37,19,219,NO FAULT
2020,1,7,10,68,36,19,216,NO FAULT
2020,1,7,11,68,44,19,230,NO FAULT
2020,1,7,12,69,37,20,217,NO FAULT
2020,1,7,13,68,36,22,227,NO FAULT
2020,1,7,14,67,37,24,218,NO FAULT
2020,1,7,15,67,41,25,227,NO FAULT
2020,1,7,16,68,39,27,210,NO FAULT
2020,1,7,17,70,45,28,212,NO FAULT
2020,1,7,18,67,44,29,230,NO FAULT
2020,1,7,19,68,36,29,218,NO FAULT
2020,1,7,20,67,42,29,226,NO FAULT
2020,1,7,21,70,39,28,211,NO FAULT
2020,1,7,22,69,38,27,228,NO FAULT
2020,1,7,23,69,35,24,226,NO FAULT
2020,1,8,0,68,45,23,224,NO FAULT
2020,1,8,1,68,43,22,212,NO FAULT
2020,1,8,2,67,36,21,224,NO FAULT
2020,1,8,3,68,38,21,228,NO FAULT
2020,1,8,4,67,44,20,210,NO FAULT
2020,1,8,5,70,45,20,218,NO FAULT
2020,1,8,6,67,37,19,225,NO FAULT
2020,1,8,7,69,37,19,210,NO FAULT
2020,1,8,8,68,37,19,223,NO FAULT
2020,1,8,9,70,39,19,229,NO FAULT
2020,1,8,10,68,42,18,215,NO FAULT
2020,1,8,11,67,36,18,223,NO FAULT
2020,1,8,12,70,41,19,226,NO FAULT
2020,1,8,13,69,42,22,218,NO FAULT
2020,1,8,14,70,44,24,220,NO FAULT
2020,1,8,15,68,44,25,221,NO FAULT
2020,1,8,16,70,42,27,222,NO FAULT
2020,1,8,17,67,43,28,214,NO FAULT
2020,1,8,18,69,44,29,215,NO FAULT
2020,1,8,19,68,37,29,220,NO FAULT
2020,1,8,20,70,39,29,214,NO FAULT
2020,1,8,21,78,40,29,219,NO FAULT
2020,1,8,22,76,36,28,222,NO FAULT
2020,1,8,23,70,39,25,210,NO FAULT
2020,1,9,0,70,36,23,224,NO FAULT
2020,1,9,1,68,44,22,228,NO FAULT
2020,1,9,2,68,42,21,216,NO FAULT
2020,1,9,3,67,37,20,220,NO FAULT
2020,1,9,4,68,44,19,210,NO FAULT
2020,1,9,5,70,41,19,222,NO FAULT
2020,1,9,6,70,37,18,228,NO FAULT
2020,1,9,7,69,41,18,216,NO FAULT
2020,1,9,8,70,41,18,221,NO FAULT
2020,1,9,9,68,44,18,218,NO FAULT
2020,1,9,10,68,40,18,212,NO FAULT
2020,1,9,11,69,35,18,218,NO FAULT
2020,1,9,12,70,45,18,227,NO FAULT
2020,1,9,13,83,56,20,261,HEATING
2020,1,9,14,83,54,20,276,HEATING
2020,1,9,15,83,54,20,270,HEATING
2020,1,9,16,78,56,20,260,HEATING
2020,1,9,17,93,60,20,290,OVER HEATING
2020,1,9,18,94,59,20,289,OVER HEATING
2020,1,9,19,98,64,20,340,OVER LOADING
2020,1,9,20,98,64,20,340,OVER LOADING
2020,1,9,21,69,38,21,219,NO FAULT
2020,1,9,22,70,39,23,212,NO FAULT
2020,1,9,23,69,38,25,211,NO FAULT
2020,1,10,0,67,43,27,221,NO FAULT
2020,1,10,1,68,43,28,218,NO FAULT
2020,1,10,2,68,44,29,220,NO FAULT
2020,1,10,3,68,38,30,211,NO FAULT
2020,1,10,4,69,45,30,221,NO FAULT
2020,1,10,5,70,37,29,226,NO FAULT
2020,1,10,6,70,40,28,215,NO FAULT
2020,1,10,7,67,41,25,216,NO FAULT
2020,1,10,8,71,38,23,211,NO FAULT
2020,1,10,9,70,35,22,220,NO FAULT
2020,1,10,10,67,42,23,212,NO FAULT
2020,1,10,11,68,43,22,226,NO FAULT
2020,1,10,12,69,43,21,213,NO FAULT
2020,1,10,13,68,37,20,220,NO FAULT
2020,1,10,14,69,44,19,229,NO FAULT
2020,1,10,15,68,35,18,213,NO FAULT
2020,1,10,16,69,42,18,215,NO FAULT
2020,1,10,17,68,45,17,224,NO FAULT
2020,1,10,18,68,37,17,229,NO FAULT
2020,1,10,19,67,37,17,214,NO FAULT
2020,1,10,20,69,35,17,216,NO FAULT
2020,1,10,21,68,39,17,228,NO FAULT
2020,1,10,22,68,42,17,215,NO FAULT
2020,1,10,23,67,39,20,210,NO FAULT
2020,1,11,0,70,41,22,210,NO FAULT
2020,1,11,1,69,38,24,222,NO FAULT
2020,1,11,2,67,35,26,222,NO FAULT
2020,1,11,3,67,44,28,213,NO FAULT
2020,1,11,4,68,36,28,217,NO FAULT
2020,1,11,5,69,35,29,221,NO FAULT
2020,1,11,6,69,43,29,225,NO FAULT
2020,1,11,7,68,44,28,212,NO FAULT
2020,1,11,8,68,39,27,210,NO FAULT
2020,1,11,9,70,44,24,219,NO FAULT
2020,1,11,10,69,41,22,212,NO FAULT
2020,1,11,11,69,40,22,216,NO FAULT
2020,1,11,12,110,70,21,500,SHORT CIRCUIT
2020,1,11,13,68,37,20,221,NO FAULT
2020,1,11,14,69,39,20,226,NO FAULT
2020,1,11,15,68,39,19,220,NO FAULT
2020,1,11,16,67,35,19,210,NO FAULT
2020,1,11,17,67,35,18,228,NO FAULT
2020,1,11,18,67,45,18,215,NO FAULT
2020,1,11,19,70,36,18,219,NO FAULT
2020,1,11,20,68,35,17,221,NO FAULT
2020,1,11,21,69,44,17,217,NO FAULT
2020,1,11,22,70,42,18,229,NO FAULT
2020,1,11,23,70,38,20,225,NO FAULT
2020,1,12,0,67,40,22,216,NO FAULT
2020,1,12,1,69,37,24,218,NO FAULT
2020,1,12,2,69,41,26,228,NO FAULT
2020,1,12,3,70,42,27,230,NO FAULT
2020,1,12,4,68,45,28,222,NO FAULT
2020,1,12,5,67,44,28,216,NO FAULT
2020,1,12,6,70,36,28,213,NO FAULT
2020,1,12,7,67,36,28,221,NO FAULT
2020,1,12,8,70,43,26,230,NO FAULT
2020,1,12,9,70,37,22,227,NO FAULT
2020,1,12,10,69,41,20,221,NO FAULT
2020,1,12,11,67,38,20,210,NO FAULT
2020,1,12,12,68,36,19,219,NO FAULT
2020,1,12,13,69,41,19,218,NO FAULT
2020,1,12,14,67,41,18,220,NO FAULT
2020,1,12,15,67,37,17,211,NO FAULT
2020,1,12,16,77,42,17,219,NO FAULT
2020,1,12,17,67,43,16,216,NO FAULT
2020,1,12,18,69,43,15,216,NO FAULT
2020,1,12,19,70,40,15,227,NO FAULT
2020,1,12,20,70,37,15,217,NO FAULT
2020,1,12,21,69,45,15,210,NO FAULT
2020,1,12,22,70,36,16,220,NO FAULT
2020,1,12,23,70,41,19,227,NO FAULT
2020,1,13,0,69,44,22,214,NO FAULT
2020,1,13,1,68,45,24,224,NO FAULT
2020,1,13,2,68,41,26,219,NO FAULT
2020,1,13,3,67,35,27,223,NO FAULT
2020,1,13,4,70,38,28,229,NO FAULT
2020,1,13,5,68,45,29,227,NO FAULT
2020,1,13,6,69,38,29,216,NO FAULT
2020,1,13,7,69,35,28,215,NO FAULT
2020,1,13,8,69,42,27,228,NO FAULT
2020,1,13,9,68,38,23,213,NO FAULT
2020,1,13,10,67,43,22,210,NO FAULT
2020,1,13,11,69,41,21,226,NO FAULT
2020,1,13,12,67,36,20,216,NO FAULT
2020,1,13,13,67,38,20,229,NO FAULT
2020,1,13,14,67,40,19,223,NO FAULT
2020,1,13,15,67,42,18,223,NO FAULT
2020,1,13,16,70,35,18,226,NO FAULT
2020,1,13,17,69,35,17,219,NO FAULT
2020,1,13,18,67,42,17,211,NO FAULT
2020,1,13,19,67,41,17,227,NO FAULT
2020,1,13,20,69,42,17,213,NO FAULT
2020,1,13,21,67,38,17,223,NO FAULT
2020,1,13,22,67,41,17,222,NO FAULT
2020,1,13,23,68,36,20,211,NO FAULT
2020,1,14,0,68,35,23,217,NO FAULT
2020,1,14,1,69,43,25,222,NO FAULT
2020,1,14,2,68,43,26,229,NO FAULT
2020,1,14,3,69,41,28,217,NO FAULT
2020,1,14,4,69,44,29,225,NO FAULT
2020,1,14,5,78,35,29,210,NO FAULT
2020,1,14,6,76,38,28,224,NO FAULT
2020,1,14,7,68,41,29,230,NO FAULT
2020,1,14,8,67,37,29,225,NO FAULT
2020,1,14,9,68,44,29,222,NO FAULT
2020,1,14,10,67,44,28,227,NO FAULT
2020,1,14,11,68,38,24,224,NO FAULT
2020,1,14,12,68,45,23,224,NO FAULT
2020,1,14,13,68,36,22,229,NO FAULT
2020,1,14,14,70,38,22,210,NO FAULT
2020,1,14,15,69,36,21,212,NO FAULT
2020,1,14,16,69,36,20,217,NO FAULT
2020,1,14,17,67,40,20,222,NO FAULT
2020,1,14,18,69,43,19,222,NO FAULT
2020,1,14,19,67,40,18,211,NO FAULT
2020,1,14,20,67,37,18,225,NO FAULT
2020,1,14,21,69,45,17,211,NO FAULT
2020,1,14,22,68,41,17,225,NO FAULT
2020,1,14,23,67,40,17,210,NO FAULT
2020,1,15,0,68,42,17,210,NO FAULT
2020,1,15,1,70,42,19,216,NO FAULT
2020,1,15,2,70,42,22,219,NO FAULT
2020,1,15,3,69,36,24,214,NO FAULT
2020,1,15,4,68,35,27,210,NO FAULT
2020,1,15,5,67,43,28,220,NO FAULT
2020,1,15,6,69,38,29,223,NO FAULT
2020,1,15,7,70,45,30,216,NO FAULT
2020,1,15,8,69,39,30,219,NO FAULT
2020,1,15,9,70,45,29,221,NO FAULT
2020,1,15,10,70,42,28,215,NO FAULT
2020,1,15,11,70,41,24,212,NO FAULT
2020,1,15,12,69,38,22,220,NO FAULT
2020,1,15,13,69,45,21,215,NO FAULT
2020,1,15,14,68,43,20,220,NO FAULT
2020,1,15,15,85,56,20,261,HEATING
2020,1,15,16,85,54,20,276,HEATING
2020,1,15,17,85,54,20,270,HEATING
2020,1,15,18,85,56,20,260,HEATING
2020,1,15,19,93,60,20,290,OVER HEATING
2020,1,15,20,94,59,20,289,OVER HEATING
2020,1,15,21,67,36,20,230,NO FAULT
2020,1,15,22,70,37,19,225,NO FAULT
2020,1,15,23,77,36,18,224,NO FAULT
2020,1,16,0,80,36,17,229,NO FAULT
2020,1,16,1,83,41,17,215,NO FAULT
2020,1,16,2,89,38,17,211,NO FAULT
2020,1,16,3,67,35,16,229,NO FAULT
2020,1,16,4,68,45,16,222,NO FAULT
2020,1,16,5,69,37,16,225,NO FAULT
2020,1,16,6,68,37,16,228,NO FAULT
2020,1,16,7,68,45,19,217,NO FAULT
2020,1,16,8,67,43,21,221,NO FAULT
2020,1,16,9,67,45,24,218,NO FAULT
2020,1,16,10,67,39,26,225,NO FAULT
2020,1,16,11,70,45,27,215,NO FAULT
2020,1,16,12,70,44,28,223,NO FAULT
2020,1,16,13,69,37,29,222,NO FAULT
2020,1,16,14,67,40,29,225,NO FAULT
2020,1,16,15,69,41,28,225,NO FAULT
2020,1,16,16,68,35,27,216,NO FAULT
2020,1,16,17,70,42,23,230,NO FAULT
2020,1,16,18,68,44,22,226,NO FAULT
2020,1,16,19,67,36,21,225,NO FAULT
2020,1,16,20,68,43,20,217,NO FAULT
2020,1,16,21,70,35,18,222,NO FAULT
2020,1,16,22,68,38,18,220,NO FAULT
2020,1,16,23,70,40,17,223,NO FAULT
2020,1,17,0,67,44,16,219,NO FAULT
2020,1,17,1,67,39,16,222,NO FAULT
2020,1,17,2,67,45,15,213,NO FAULT
2020,1,17,3,69,39,15,217,NO FAULT
2020,1,17,4,70,38,15,229,NO FAULT
2020,1,17,5,69,45,15,219,NO FAULT
2020,1,17,6,68,37,16,228,NO FAULT
2020,1,17,7,68,44,18,212,NO FAULT
2020,1,17,8,67,43,22,227,NO FAULT
2020,1,17,9,70,42,24,226,NO FAULT
2020,1,17,10,67,45,26,213,NO FAULT
2020,1,17,11,68,44,28,225,NO FAULT
2020,1,17,12,68,41,29,216,NO FAULT
2020,1,17,13,69,42,29,217,NO FAULT
2020,1,17,14,68,37,29,229,NO FAULT
2020,1,17,15,69,38,29,218,NO FAULT
2020,1,17,16,70,42,27,220,NO FAULT
2020,1,17,17,70,43,24,224,NO FAULT
2020,1,17,18,68,35,22,214,NO FAULT
2020,1,17,19,69,44,21,212,NO FAULT
2020,1,17,20,68,43,21,217,NO FAULT
2020,1,17,21,67,38,20,230,NO FAULT
2020,1,17,22,67,35,19,217,NO FAULT
2020,1,17,23,68,40,18,214,NO FAULT
2020,1,18,0,68,39,17,222,NO FAULT
2020,1,18,1,67,35,17,222,NO FAULT
2020,1,18,2,70,40,16,216,NO FAULT
2020,1,18,3,67,36,16,217,NO FAULT
2020,1,18,4,70,43,16,214,NO FAULT
2020,1,18,5,69,37,16,228,NO FAULT
2020,1,18,6,70,39,17,226,NO FAULT
2020,1,18,7,70,38,20,216,NO FAULT
2020,1,18,8,68,38,23,223,NO FAULT
2020,1,18,9,70,44,25,224,NO FAULT
2020,1,18,10,70,40,27,226,NO FAULT
2020,1,18,11,70,44,29,223,NO FAULT
2020,1,18,12,70,40,30,214,NO FAULT
2020,1,18,13,70,41,30,212,NO FAULT
2020,1,18,14,69,35,30,230,NO FAULT
2020,1,18,15,67,43,30,213,NO FAULT
2020,1,18,16,67,39,28,222,NO FAULT
2020,1,18,17,69,37,25,212,NO FAULT
2020,1,18,18,67,41,23,212,NO FAULT
2020,1,18,19,68,42,23,213,NO FAULT
2020,1,18,20,70,39,22,229,NO FAULT
2020,1,18,21,67,41,21,229,NO FAULT
2020,1,18,22,68,37,21,225,NO FAULT
2020,1,18,23,70,38,21,220,NO FAULT
2020,1,19,0,69,43,20,219,NO FAULT
2020,1,19,1,68,37,20,224,NO FAULT
2020,1,19,2,70,40,20,227,NO FAULT
2020,1,19,3,69,38,19,223,NO FAULT
2020,1,19,4,70,43,19,211,NO FAULT
2020,1,19,5,67,45,19,212,NO FAULT
2020,1,19,6,67,42,20,210,NO FAULT
2020,1,19,7,68,44,22,214,NO FAULT
2020,1,19,8,70,43,24,214,NO FAULT
2020,1,19,9,71,41,26,223,NO FAULT
2020,1,19,10,67,37,28,225,NO FAULT
2020,1,19,11,68,40,29,216,NO FAULT
2020,1,19,12,69,40,30,220,NO FAULT
2020,1,19,13,68,42,30,210,NO FAULT
2020,1,19,14,68,42,30,230,NO FAULT
2020,1,19,15,69,45,30,214,NO FAULT
2020,1,19,16,70,36,28,221,NO FAULT
2020,1,19,17,70,37,26,230,NO FAULT
2020,1,19,18,67,44,24,213,NO FAULT
2020,1,19,19,68,38,23,226,NO FAULT
2020,1,19,20,70,43,23,219,NO FAULT
2020,1,19,21,78,43,22,211,NO FAULT
2020,1,19,22,89,36,22,218,NO FAULT
2020,1,19,23,110,40,22,210,NO FAULT
2020,1,20,0,69,43,21,216,NO FAULT
2020,1,20,1,78,56,20,261,HEATING
2020,1,20,2,77,54,20,276,HEATING
2020,1,20,3,77,54,20,270,HEATING
2020,1,20,4,78,56,20,260,HEATING
2020,1,20,5,93,60,20,290,OVER HEATING
2020,1,20,6,94,59,20,289,OVER HEATING
2020,1,20,7,68,38,21,220,NO FAULT
2020,1,20,8,67,39,20,211,NO FAULT
2020,1,20,9,67,41,20,226,NO FAULT
2020,1,20,10,67,35,20,210,NO FAULT
2020,1,20,11,69,37,20,223,NO FAULT
2020,1,20,12,70,45,21,220,NO FAULT
2020,1,20,13,69,40,23,215,NO FAULT
2020,1,20,14,70,39,25,210,NO FAULT
2020,1,20,15,67,41,27,219,NO FAULT
2020,1,20,16,67,40,28,212,NO FAULT
2020,1,20,17,70,40,29,214,NO FAULT
2020,1,20,18,77,43,30,221,NO FAULT
2020,1,20,19,72,35,30,215,NO FAULT
2020,1,20,20,67,40,29,219,NO FAULT
2020,1,20,21,67,35,28,213,NO FAULT
2020,1,20,22,69,37,25,215,NO FAULT
2020,1,20,23,70,36,23,212,NO FAULT
2020,1,21,0,68,41,22,227,NO FAULT
2020,1,21,1,69,40,22,215,NO FAULT
2020,1,21,2,68,36,21,227,NO FAULT
2020,1,21,3,68,35,21,214,NO FAULT
2020,1,21,4,69,36,20,218,NO FAULT
2020,1,21,5,69,37,20,220,NO FAULT
2020,1,21,6,69,42,19,219,NO FAULT
2020,1,21,7,70,44,19,216,NO FAULT
2020,1,21,8,69,39,19,221,NO FAULT
2020,1,21,9,67,40,19,221,NO FAULT
2020,1,21,10,69,38,18,227,NO FAULT
2020,1,21,11,68,36,19,219,NO FAULT
2020,1,21,12,69,39,21,217,NO FAULT
2020,1,21,13,70,44,23,210,NO FAULT
2020,1,21,14,68,37,26,223,NO FAULT
2020,1,21,15,67,37,28,225,NO FAULT
2020,1,21,16,68,39,29,211,NO FAULT
2020,1,21,17,70,41,30,225,NO FAULT
2020,1,21,18,68,39,31,229,NO FAULT
2020,1,21,19,68,42,31,220,NO FAULT
2020,1,21,20,68,39,30,224,NO FAULT
2020,1,21,21,70,38,29,217,NO FAULT
2020,1,21,22,67,37,25,228,NO FAULT
2020,1,21,23,69,41,23,218,NO FAULT
2020,1,22,0,69,39,22,215,NO FAULT
2020,1,22,1,67,42,22,220,NO FAULT
2020,1,22,2,68,41,21,219,NO FAULT
2020,1,22,3,68,40,20,228,NO FAULT
2020,1,22,4,67,44,19,226,NO FAULT
2020,1,22,5,70,37,19,220,NO FAULT
2020,1,22,6,68,35,19,228,NO FAULT
2020,1,22,7,68,38,18,224,NO FAULT
2020,1,22,8,69,40,18,221,NO FAULT
2020,1,22,9,70,35,18,222,NO FAULT
2020,1,22,10,67,40,17,228,NO FAULT
2020,1,22,11,69,36,18,217,NO FAULT
2020,1,22,12,69,40,21,224,NO FAULT
2020,1,22,13,68,36,23,211,NO FAULT
2020,1,22,14,70,39,25,217,NO FAULT
2020,1,22,15,68,40,27,216,NO FAULT
2020,1,22,16,68,40,29,230,NO FAULT
2020,1,22,17,70,38,30,228,NO FAULT
2020,1,22,18,67,45,30,223,NO FAULT
2020,1,22,19,69,38,30,215,NO FAULT
2020,1,22,20,69,38,30,230,NO FAULT
2020,1,22,21,67,38,28,219,NO FAULT
2020,1,22,22,67,40,24,224,NO FAULT
2020,1,22,23,76,37,22,218,NO FAULT
2020,1,23,0,75,43,21,215,NO FAULT
2020,1,23,1,70,40,21,225,NO FAULT
2020,1,23,2,69,45,20,218,NO FAULT
2020,1,23,3,67,40,20,214,NO FAULT
2020,1,23,4,68,42,19,218,NO FAULT
2020,1,23,5,69,39,19,214,NO FAULT
2020,1,23,6,67,36,19,218,NO FAULT
2020,1,23,7,70,43,18,226,NO FAULT
2020,1,23,8,68,40,18,222,NO FAULT
2020,1,23,9,67,43,17,222,NO FAULT
2020,1,23,10,68,37,17,230,NO FAULT
2020,1,23,11,67,45,17,226,NO FAULT
2020,1,23,12,69,43,20,214,NO FAULT
2020,1,23,13,69,39,23,226,NO FAULT
2020,1,23,14,70,35,25,227,NO FAULT
2020,1,23,15,69,36,27,211,NO FAULT
2020,1,23,16,69,43,29,214,NO FAULT
2020,1,23,17,67,42,30,223,NO FAULT
2020,1,23,18,67,36,31,222,NO FAULT
2020,1,23,19,67,42,31,210,NO FAULT
2020,1,23,20,70,35,30,213,NO FAULT
2020,1,23,21,68,43,29,220,NO FAULT
2020,1,23,22,70,43,25,222,NO FAULT
2020,1,23,23,67,41,23,211,NO FAULT
2020,1,24,0,68,42,22,224,NO FAULT
2020,1,24,1,69,45,21,214,NO FAULT
2020,1,24,2,68,38,21,225,NO FAULT
2020,1,24,3,70,40,21,218,NO FAULT
2020,1,24,4,69,42,20,220,NO FAULT
2020,1,24,5,67,39,20,222,NO FAULT
2020,1,24,6,69,36,19,210,NO FAULT
2020,1,24,7,68,44,19,218,NO FAULT
2020,1,24,8,67,39,19,221,NO FAULT
2020,1,24,9,68,42,19,222,NO FAULT
2020,1,24,10,69,42,19,219,NO FAULT
2020,1,24,11,69,40,19,219,NO FAULT
2020,1,24,12,68,38,21,212,NO FAULT
2020,1,24,13,68,35,23,226,NO FAULT
2020,1,24,14,93,60,20,290,OVER HEATING
2020,1,24,15,94,59,20,289,OVER HEATING
2020,1,24,16,94,60,20,290,OVER HEATING
2020,1,24,17,90,59,20,289,OVER HEATING
2020,1,24,18,92,58,20,288,OVER HEATING
2020,1,24,19,67,39,25,230,NO FAULT
2020,1,24,20,67,38,27,215,NO FAULT
2020,1,24,21,70,40,29,218,NO FAULT
2020,1,24,22,68,44,30,221,NO FAULT
2020,1,24,23,70,42,31,213,NO FAULT
2020,1,25,0,67,36,31,220,NO FAULT
2020,1,25,1,68,38,30,223,NO FAULT
2020,1,25,2,68,37,29,225,NO FAULT
2020,1,25,3,68,39,26,211,NO FAULT
